scene_id,role,path,device_or_medium,render_mode,text_render_mode,source_or_origin,sha256,width,height,status
SHOT-01,official_ui_battery_entry,assets/normalized/shot01_battery_entry.png,iPhone 12 mini / iOS 26.6.1,official,no_text,SRC-001; Human提供画面「バッテリー」入口,D380CB533BC830A1E05F86C63F0F4E986C77C339BACF67A299716DE0E9E79F27,1125,633,CAPTURED_NORMALIZED_PRIVACY_PASS
SHOT-02,official_ui_battery_usage_graph,assets/normalized/shot02_usage_graph.png,iPhone 12 mini / iOS 26.6.1,official,no_text,SRC-002; Human提供画面「バッテリー使用状況」グラフ（アプリ一覧不使用）,5898F2A3D51AC9216CB2AF17977BBBD9AD3C5750633F7F799EF9450D3D63BEE9,1125,633,CAPTURED_NORMALIZED_PRIVACY_PASS
SHOT-03,official_ui_activity_detail,assets/normalized/shot03_activity.png,iPhone 12 mini / iOS 26.6.1,official,no_text,SRC-003; Human提供画面から「アクティビティ」「画面上」「バックグラウンド」のみ,C9742560A30C1BC2D27400598034388797CB292FF012E07C2EBBF326CD9F97C1,1125,633,CAPTURED_NORMALIZED_MASKED_PRIVACY_PASS
SHOT-04A,official_ui_display_brightness,assets/normalized/shot04_display_brightness.png,iPhone 12 mini / iOS 26.6.1,official,no_text,SRC-005; Human提供画面「明るさ」,ADA13A9FEE1D07A35F715CBEBE412E082440B4517326D02EBBD454DE639A48A5,1125,633,CAPTURED_NORMALIZED_PRIVACY_PASS
SHOT-04B,official_ui_auto_lock,assets/normalized/shot04_display_lock.png,iPhone 12 mini / iOS 26.6.1,official,no_text,SRC-005; Human提供画面「自動ロック 5分」,561A019A3F6D8054140EC565725A7A7173A8CAB8140E7FA65D5DDBB61967DBD3,1125,633,CAPTURED_NORMALIZED_PRIVACY_PASS
SHOT-05,official_ui_battery_health,assets/normalized/shot05_battery_health.png,iPhone 12 mini / iOS 26.6.1,official,no_text,SRC-001; SRC-003; SRC-004; Human提供画面「バッテリーの状態と充電」,C7BCD2547203AA580C7362AD76582AD5D0BDCA4F398EA6236A9AB3183178CF47,1125,633,CAPTURED_NORMALIZED_PRIVACY_PASS
SCENE-001,renderer_native,work/rendered_scenes_v1/scene_001.png,none,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,393D1D3C287441C0E79E057A0281E2B9EBDB85EBCCFB2FD0D73BCBF44B63EF8F,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-002,renderer_native,work/rendered_scenes_v1/scene_002.png,none,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,280771C1C3CA3838FC9F7289B850A1107584353DA73B3CF3EE5319E3D3FCD1B5,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-003,renderer_native,work/rendered_scenes_v1/scene_003.png,none,template,pil_overlay,config/visual_theme.json:adult_digital_soft_background,FFCAF12FAEBDF380851ABCA330F2A193B4B354064AB2DE3D8239862E0603E96A,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
SCENE-004,renderer_native,work/rendered_scenes_v1/scene_004.png,iPhone 12 mini / iOS 26.6.1,official,pil_overlay,SRC-001; SHOT-01; Human実機画面,0590C727480FC2427C43996F5230E18F7A5F2A960988F0B86A317EB0FAD94615,1920,1080,RENDERED_DRAFT_GATE2_REVIEW
